customer_id,customer_name,customer_email,signup_at,metadata_super,region_raw,marketing_source_raw
13,Customer 13,user_13@example.com,2024-09-12T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.13""}",EMEA,paid_social
14,Customer 14,user_14@example.com,2024-04-09T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.14""}",EMEA,organic
15,Customer 15,user_15@example.com,2024-06-03T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.15""}",None,google_ads
16,Customer 16,user_16@example.com,2024-03-04T00:00:00.000Z,"{""region"":""None"",""source"":""referral"",""ip_address"":""192.168.1.16""}",None,referral
17,Customer 17,user_17@example.com,2024-05-04T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.17""}",APAC,paid_social
18,Customer 18,user_18@example.com,2024-05-13T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.18""}",EMEA,google_ads
19,Customer 19,user_19@example.com,2024-09-22T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.19""}",APAC,paid_social
20,Customer 20,user_20@example.com,2024-04-14T00:00:00.000Z,"{""region"":""US"",""source"":""paid_social"",""ip_address"":""192.168.1.20""}",US,paid_social
21,Customer 21,user_21@example.com,2024-07-27T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.21""}",APAC,organic
22,Customer 22,user_22@example.com,2024-10-10T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.22""}",EMEA,organic
23,Customer 23,user_23@example.com,2024-06-03T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.23""}",None,paid_social
24,Customer 24,user_24@example.com,2024-12-12T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.24""}",APAC,referral
25,Customer 25,user_25@example.com,2024-09-01T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.25""}",None,google_ads
26,Customer 26,user_26@example.com,2024-04-27T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.26""}",EMEA,paid_social
27,Customer 27,user_27@example.com,2024-09-20T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.27""}",US,google_ads
28,Customer 28,user_28@example.com,2024-12-28T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.28""}",EMEA,organic
29,Customer 29,user_29@example.com,2024-11-17T00:00:00.000Z,"{""region"":""US"",""source"":""paid_social"",""ip_address"":""192.168.1.29""}",US,paid_social
30,Customer 30,user_30@example.com,2024-07-04T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.30""}",APAC,organic
31,Customer 31,user_31@example.com,2024-08-19T00:00:00.000Z,"{""region"":""EMEA"",""source"":""referral"",""ip_address"":""192.168.1.31""}",EMEA,referral
32,Customer 32,user_32@example.com,2024-03-18T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.32""}",US,google_ads
33,Customer 33,user_33@example.com,2024-03-18T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.33""}",EMEA,paid_social
34,Customer 34,user_34@example.com,2024-02-26T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.34""}",APAC,organic
35,Customer 35,user_35@example.com,2024-12-04T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.35""}",US,google_ads
36,Customer 36,user_36@example.com,2024-06-17T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.36""}",None,google_ads
37,Customer 37,user_37@example.com,2024-08-06T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.37""}",EMEA,google_ads
38,Customer 38,user_38@example.com,2024-08-17T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.38""}",None,google_ads
39,Customer 39,user_39@example.com,2024-12-11T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.39""}",APAC,organic
40,Customer 40,user_40@example.com,2024-09-10T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.40""}",US,google_ads
41,Customer 41,user_41@example.com,2024-03-26T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.41""}",None,google_ads
42,Customer 42,user_42@example.com,2024-09-12T00:00:00.000Z,"{""region"":""US"",""source"":""referral"",""ip_address"":""192.168.1.42""}",US,referral
43,Customer 43,user_43@example.com,2024-07-29T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.43""}",None,paid_social
44,Customer 44,user_44@example.com,2024-05-25T00:00:00.000Z,"{""region"":""APAC"",""source"":""google_ads"",""ip_address"":""192.168.1.44""}",APAC,google_ads
45,Customer 45,user_45@example.com,2024-09-12T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.45""}",EMEA,paid_social
46,Customer 46,user_46@example.com,2024-12-27T00:00:00.000Z,"{""region"":""US"",""source"":""referral"",""ip_address"":""192.168.1.46""}",US,referral
47,Customer 47,user_47@example.com,2024-03-24T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.47""}",APAC,paid_social
48,Customer 48,user_48@example.com,2024-11-23T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.48""}",APAC,organic
49,Customer 49,user_49@example.com,2024-07-10T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.49""}",EMEA,paid_social
50,Customer 50,user_50@example.com,2024-02-14T00:00:00.000Z,"{""region"":""None"",""source"":""organic"",""ip_address"":""192.168.1.50""}",None,organic
51,Customer 51,user_51@example.com,2024-07-12T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.51""}",EMEA,paid_social
52,Customer 52,user_52@example.com,2024-09-27T00:00:00.000Z,"{""region"":""APAC"",""source"":""google_ads"",""ip_address"":""192.168.1.52""}",APAC,google_ads
53,Customer 53,user_53@example.com,2024-05-08T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.53""}",None,paid_social
54,Customer 54,user_54@example.com,2024-12-03T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.54""}",EMEA,google_ads
55,Customer 55,user_55@example.com,2024-08-14T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.55""}",US,google_ads
56,Customer 56,user_56@example.com,2024-01-08T00:00:00.000Z,"{""region"":""None"",""source"":""referral"",""ip_address"":""192.168.1.56""}",None,referral
57,Customer 57,user_57@example.com,2024-09-06T00:00:00.000Z,"{""region"":""EMEA"",""source"":""referral"",""ip_address"":""192.168.1.57""}",EMEA,referral
58,Customer 58,user_58@example.com,2024-10-06T00:00:00.000Z,"{""region"":""None"",""source"":""referral"",""ip_address"":""192.168.1.58""}",None,referral
59,Customer 59,user_59@example.com,2024-04-05T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.59""}",EMEA,organic
60,Customer 60,user_60@example.com,2024-11-04T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.60""}",APAC,organic
61,Customer 61,user_61@example.com,2024-10-25T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.61""}",EMEA,organic
62,Customer 62,user_62@example.com,2024-08-27T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.62""}",EMEA,google_ads
63,Customer 63,user_63@example.com,2024-02-25T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.63""}",None,paid_social
64,Customer 64,user_64@example.com,2024-11-15T00:00:00.000Z,"{""region"":""US"",""source"":""organic"",""ip_address"":""192.168.1.64""}",US,organic
65,Customer 65,user_65@example.com,2024-11-09T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.65""}",APAC,referral
66,Customer 66,user_66@example.com,2024-09-12T00:00:00.000Z,"{""region"":""US"",""source"":""organic"",""ip_address"":""192.168.1.66""}",US,organic
67,Customer 67,user_67@example.com,2024-06-20T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.67""}",None,google_ads
68,Customer 68,user_68@example.com,2024-01-10T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.68""}",APAC,organic
69,Customer 69,user_69@example.com,2024-02-01T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.69""}",EMEA,paid_social
70,Customer 70,user_70@example.com,2024-07-14T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.70""}",APAC,paid_social
71,Customer 71,user_71@example.com,2024-02-14T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.71""}",EMEA,organic
72,Customer 72,user_72@example.com,2024-03-14T00:00:00.000Z,"{""region"":""None"",""source"":""organic"",""ip_address"":""192.168.1.72""}",None,organic
73,Customer 73,user_73@example.com,2024-02-20T00:00:00.000Z,"{""region"":""US"",""source"":""paid_social"",""ip_address"":""192.168.1.73""}",US,paid_social
74,Customer 74,user_74@example.com,2024-11-27T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.74""}",APAC,organic
75,Customer 75,user_75@example.com,2024-08-31T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.75""}",APAC,referral
76,Customer 76,user_76@example.com,2024-08-15T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.76""}",APAC,paid_social
77,Customer 77,user_77@example.com,2024-09-03T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.77""}",APAC,referral
78,Customer 78,user_78@example.com,2024-01-30T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.78""}",EMEA,organic
79,Customer 79,user_79@example.com,2024-07-02T00:00:00.000Z,"{""region"":""APAC"",""source"":""google_ads"",""ip_address"":""192.168.1.79""}",APAC,google_ads
80,Customer 80,user_80@example.com,2024-08-04T00:00:00.000Z,"{""region"":""EMEA"",""source"":""referral"",""ip_address"":""192.168.1.80""}",EMEA,referral
81,Customer 81,user_81@example.com,2024-06-25T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.81""}",EMEA,paid_social
82,Customer 82,user_82@example.com,2024-06-10T00:00:00.000Z,"{""region"":""APAC"",""source"":""google_ads"",""ip_address"":""192.168.1.82""}",APAC,google_ads
83,Customer 83,user_83@example.com,2024-09-21T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.83""}",APAC,paid_social
84,Customer 84,user_84@example.com,2024-04-08T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.84""}",US,google_ads
85,Customer 85,user_85@example.com,2024-06-12T00:00:00.000Z,"{""region"":""US"",""source"":""organic"",""ip_address"":""192.168.1.85""}",US,organic
86,Customer 86,user_86@example.com,2024-09-09T00:00:00.000Z,"{""region"":""US"",""source"":""organic"",""ip_address"":""192.168.1.86""}",US,organic
87,Customer 87,user_87@example.com,2024-12-24T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.87""}",EMEA,organic
88,Customer 88,user_88@example.com,2024-08-27T00:00:00.000Z,"{""region"":""APAC"",""source"":""google_ads"",""ip_address"":""192.168.1.88""}",APAC,google_ads
89,Customer 89,user_89@example.com,2024-05-11T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.89""}",EMEA,google_ads
90,Customer 90,user_90@example.com,2024-01-07T00:00:00.000Z,"{""region"":""EMEA"",""source"":""referral"",""ip_address"":""192.168.1.90""}",EMEA,referral
91,Customer 91,user_91@example.com,2024-06-14T00:00:00.000Z,"{""region"":""US"",""source"":""organic"",""ip_address"":""192.168.1.91""}",US,organic
92,Customer 92,user_92@example.com,2024-06-10T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.92""}",APAC,referral
93,Customer 93,user_93@example.com,2024-02-21T00:00:00.000Z,"{""region"":""EMEA"",""source"":""referral"",""ip_address"":""192.168.1.93""}",EMEA,referral
94,Customer 94,user_94@example.com,2024-09-24T00:00:00.000Z,"{""region"":""US"",""source"":""paid_social"",""ip_address"":""192.168.1.94""}",US,paid_social
95,Customer 95,user_95@example.com,2024-08-01T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.95""}",None,google_ads
96,Customer 96,user_96@example.com,2024-11-03T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.96""}",None,google_ads
97,Customer 97,user_97@example.com,2024-10-20T00:00:00.000Z,"{""region"":""US"",""source"":""paid_social"",""ip_address"":""192.168.1.97""}",US,paid_social
98,Customer 98,user_98@example.com,2024-02-01T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.98""}",APAC,referral
99,Customer 99,user_99@example.com,2024-01-19T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.99""}",EMEA,paid_social
100,Customer 100,user_100@example.com,2024-12-22T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.100""}",US,google_ads
101,Customer 101,user_101@example.com,2024-03-05T00:00:00.000Z,"{""region"":""None"",""source"":""organic"",""ip_address"":""192.168.1.101""}",None,organic
102,Customer 102,user_102@example.com,2024-11-15T00:00:00.000Z,"{""region"":""US"",""source"":""organic"",""ip_address"":""192.168.1.102""}",US,organic
103,Customer 103,user_103@example.com,2024-02-07T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.103""}",EMEA,organic
104,Customer 104,user_104@example.com,2024-12-04T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.104""}",None,paid_social
105,Customer 105,user_105@example.com,2024-07-13T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.105""}",EMEA,paid_social
106,Customer 106,user_106@example.com,2024-02-09T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.106""}",EMEA,organic
107,Customer 107,user_107@example.com,2024-12-21T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.107""}",EMEA,paid_social
108,Customer 108,user_108@example.com,2024-03-19T00:00:00.000Z,"{""region"":""US"",""source"":""paid_social"",""ip_address"":""192.168.1.108""}",US,paid_social
109,Customer 109,user_109@example.com,2024-04-24T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.109""}",None,paid_social
110,Customer 110,user_110@example.com,2024-05-17T00:00:00.000Z,"{""region"":""EMEA"",""source"":""referral"",""ip_address"":""192.168.1.110""}",EMEA,referral
111,Customer 111,user_111@example.com,2024-09-18T00:00:00.000Z,"{""region"":""APAC"",""source"":""google_ads"",""ip_address"":""192.168.1.111""}",APAC,google_ads
112,Customer 112,user_112@example.com,2024-03-19T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.112""}",APAC,organic
113,Customer 113,user_113@example.com,2024-08-28T00:00:00.000Z,"{""region"":""None"",""source"":""referral"",""ip_address"":""192.168.1.113""}",None,referral
114,Customer 114,user_114@example.com,2024-01-21T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.114""}",None,paid_social
115,Customer 115,user_115@example.com,2024-10-08T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.115""}",APAC,organic
116,Customer 116,user_116@example.com,2024-10-12T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.116""}",EMEA,paid_social
117,Customer 117,user_117@example.com,2024-04-22T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.117""}",None,google_ads
118,Customer 118,user_118@example.com,2024-06-25T00:00:00.000Z,"{""region"":""US"",""source"":""referral"",""ip_address"":""192.168.1.118""}",US,referral
119,Customer 119,user_119@example.com,2024-05-12T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.119""}",EMEA,organic
120,Customer 120,user_120@example.com,2024-04-04T00:00:00.000Z,"{""region"":""US"",""source"":""paid_social"",""ip_address"":""192.168.1.120""}",US,paid_social
121,Customer 121,user_121@example.com,2024-11-14T00:00:00.000Z,"{""region"":""US"",""source"":""paid_social"",""ip_address"":""192.168.1.121""}",US,paid_social
122,Customer 122,user_122@example.com,2024-03-09T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.122""}",None,paid_social
123,Customer 123,user_123@example.com,2024-05-15T00:00:00.000Z,"{""region"":""US"",""source"":""referral"",""ip_address"":""192.168.1.123""}",US,referral
124,Customer 124,user_124@example.com,2024-08-23T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.124""}",EMEA,google_ads
125,Customer 125,user_125@example.com,2024-12-22T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.125""}",EMEA,google_ads
126,Customer 126,user_126@example.com,2024-07-31T00:00:00.000Z,"{""region"":""US"",""source"":""referral"",""ip_address"":""192.168.1.126""}",US,referral
127,Customer 127,user_127@example.com,2024-03-31T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.127""}",APAC,organic
128,Customer 128,user_128@example.com,2024-04-01T00:00:00.000Z,"{""region"":""EMEA"",""source"":""organic"",""ip_address"":""192.168.1.128""}",EMEA,organic
129,Customer 129,user_129@example.com,2024-04-17T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.129""}",None,paid_social
130,Customer 130,user_130@example.com,2024-04-16T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.130""}",APAC,paid_social
131,Customer 131,user_131@example.com,2024-12-21T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.131""}",APAC,organic
132,Customer 132,user_132@example.com,2024-04-08T00:00:00.000Z,"{""region"":""US"",""source"":""referral"",""ip_address"":""192.168.1.132""}",US,referral
133,Customer 133,user_133@example.com,2024-04-03T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.133""}",None,google_ads
134,Customer 134,user_134@example.com,2024-06-06T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.134""}",US,google_ads
135,Customer 135,user_135@example.com,2024-05-20T00:00:00.000Z,"{""region"":""None"",""source"":""organic"",""ip_address"":""192.168.1.135""}",None,organic
136,Customer 136,user_136@example.com,2024-09-13T00:00:00.000Z,"{""region"":""APAC"",""source"":""google_ads"",""ip_address"":""192.168.1.136""}",APAC,google_ads
137,Customer 137,user_137@example.com,2024-01-04T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.137""}",APAC,paid_social
138,Customer 138,user_138@example.com,2024-12-31T00:00:00.000Z,"{""region"":""EMEA"",""source"":""referral"",""ip_address"":""192.168.1.138""}",EMEA,referral
139,Customer 139,user_139@example.com,2024-05-25T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.139""}",US,google_ads
140,Customer 140,user_140@example.com,2024-11-14T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.140""}",APAC,organic
141,Customer 141,user_141@example.com,2024-02-14T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.141""}",APAC,referral
142,Customer 142,user_142@example.com,2024-09-24T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.142""}",EMEA,paid_social
143,Customer 143,user_143@example.com,2024-07-19T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.143""}",APAC,organic
144,Customer 144,user_144@example.com,2024-01-12T00:00:00.000Z,"{""region"":""US"",""source"":""referral"",""ip_address"":""192.168.1.144""}",US,referral
145,Customer 145,user_145@example.com,2024-09-01T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.145""}",None,paid_social
146,Customer 146,user_146@example.com,2024-08-19T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.146""}",US,google_ads
147,Customer 147,user_147@example.com,2024-06-30T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.147""}",US,google_ads
148,Customer 148,user_148@example.com,2024-04-30T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.148""}",EMEA,google_ads
149,Customer 149,user_149@example.com,2024-06-15T00:00:00.000Z,"{""region"":""None"",""source"":""paid_social"",""ip_address"":""192.168.1.149""}",None,paid_social
150,Customer 150,user_150@example.com,2024-10-12T00:00:00.000Z,"{""region"":""None"",""source"":""referral"",""ip_address"":""192.168.1.150""}",None,referral
151,Customer 151,user_151@example.com,2024-01-30T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.151""}",APAC,organic
152,Customer 152,user_152@example.com,2024-06-27T00:00:00.000Z,"{""region"":""None"",""source"":""organic"",""ip_address"":""192.168.1.152""}",None,organic
153,Customer 153,user_153@example.com,2024-05-29T00:00:00.000Z,"{""region"":""None"",""source"":""referral"",""ip_address"":""192.168.1.153""}",None,referral
154,Customer 154,user_154@example.com,2024-02-26T00:00:00.000Z,"{""region"":""None"",""source"":""referral"",""ip_address"":""192.168.1.154""}",None,referral
155,Customer 155,user_155@example.com,2024-07-15T00:00:00.000Z,"{""region"":""EMEA"",""source"":""google_ads"",""ip_address"":""192.168.1.155""}",EMEA,google_ads
156,Customer 156,user_156@example.com,2024-06-19T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.156""}",APAC,referral
157,Customer 157,user_157@example.com,2024-06-25T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.157""}",APAC,referral
158,Customer 158,user_158@example.com,2024-01-31T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.158""}",APAC,paid_social
159,Customer 159,user_159@example.com,2024-07-15T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.159""}",APAC,paid_social
160,Customer 160,user_160@example.com,2024-12-26T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.160""}",US,google_ads
161,Customer 161,user_161@example.com,2024-10-23T00:00:00.000Z,"{""region"":""APAC"",""source"":""google_ads"",""ip_address"":""192.168.1.161""}",APAC,google_ads
162,Customer 162,user_162@example.com,2024-10-30T00:00:00.000Z,"{""region"":""None"",""source"":""organic"",""ip_address"":""192.168.1.162""}",None,organic
163,Customer 163,user_163@example.com,2024-05-15T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.163""}",APAC,referral
164,Customer 164,user_164@example.com,2024-10-18T00:00:00.000Z,"{""region"":""EMEA"",""source"":""paid_social"",""ip_address"":""192.168.1.164""}",EMEA,paid_social
165,Customer 165,user_165@example.com,2024-02-06T00:00:00.000Z,"{""region"":""US"",""source"":""referral"",""ip_address"":""192.168.1.165""}",US,referral
166,Customer 166,user_166@example.com,2024-07-31T00:00:00.000Z,"{""region"":""None"",""source"":""organic"",""ip_address"":""192.168.1.166""}",None,organic
167,Customer 167,user_167@example.com,2024-10-08T00:00:00.000Z,"{""region"":""APAC"",""source"":""organic"",""ip_address"":""192.168.1.167""}",APAC,organic
168,Customer 168,user_168@example.com,2024-08-04T00:00:00.000Z,"{""region"":""EMEA"",""source"":""referral"",""ip_address"":""192.168.1.168""}",EMEA,referral
169,Customer 169,user_169@example.com,2024-02-22T00:00:00.000Z,"{""region"":""US"",""source"":""google_ads"",""ip_address"":""192.168.1.169""}",US,google_ads
170,Customer 170,user_170@example.com,2024-05-20T00:00:00.000Z,"{""region"":""APAC"",""source"":""google_ads"",""ip_address"":""192.168.1.170""}",APAC,google_ads
171,Customer 171,user_171@example.com,2024-05-20T00:00:00.000Z,"{""region"":""US"",""source"":""organic"",""ip_address"":""192.168.1.171""}",US,organic
172,Customer 172,user_172@example.com,2024-05-15T00:00:00.000Z,"{""region"":""None"",""source"":""google_ads"",""ip_address"":""192.168.1.172""}",None,google_ads
173,Customer 173,user_173@example.com,2024-05-19T00:00:00.000Z,"{""region"":""APAC"",""source"":""referral"",""ip_address"":""192.168.1.173""}",APAC,referral
174,Customer 174,user_174@example.com,2024-10-03T00:00:00.000Z,"{""region"":""APAC"",""source"":""paid_social"",""ip_address"":""192.168.1.174""}",APAC,paid_social
